


商品名称 ：铜                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,476521,-132582,期货公司  ,432824,-107,期货公司  ,436814,456,
非期货公司,1775,-562,非期货公司,7041,-80,非期货公司,3051,-643,
合约代码 ：cu1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
15,申万期货  ,2618,-237,15,中银国际  ,1473,46,15,东证期货  ,1542,183,
16,同信久恒  ,2360,763,16,方正中期  ,1403,34,16,光大期货  ,1455,22,
17,方正中期  ,1999,967,17,兴证期货  ,1349,-880,17,国泰君安  ,1441,56,
18,南华期货  ,1948,308,18,大有期货  ,1348,24,18,国富期货  ,1250,125,
19,华闻期货  ,1600,1576,19,国贸期货  ,1142,-1,19,广发期货  ,1188,168,
20,新湖期货  ,1561,143,20,浙商期货  ,1107,48,20,中国国际  ,1185,96,
合计,,120843,21089,合计,,50725,4056,合计,,50043,6538,
合约代码 ：zn1807                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,4227,-870,1,瑞达期货  ,2261,1,1,华泰期货  ,4545,388,
2,中信期货  ,4041,1412,2,国贸期货  ,2141,1,2,银河期货  ,3565,50,
3,鲁证期货  ,3797,472,3,通惠期货  ,2075,27,3,方正中期  ,2732,-161,
4,东证期货  ,2720,152,4,东亚期货  ,1974,0,4,兴证期货  ,1718,662,
5,兴证期货  ,2268,1331,5,迈科期货  ,1564,2,5,首创期货  ,1608,12,
6,国投安信  ,1888,-387,6,建信期货  ,1495,5,6,中粮期货  ,1413,-18,
7,中融汇信  ,1881,1186,7,五矿经易  ,1454,-60,7,东证期货  ,1385,34,
8,中银国际  ,1490,559,8,广发期货  ,1346,-170,8,海通期货  ,1367,104,
9,同信久恒  ,1471,333,9,金瑞期货  ,1271,-14,9,中金期货  ,1141,228,
10,申万期货  ,1248,699,10,鲁证期货  ,1251,1072,10,中国国际  ,1139,-13,
11,上海中期  ,1155,91,11,同信久恒  ,1223,342,11,中融汇信  ,1080,999,
12,华泰期货  ,1055,60,12,海通期货  ,1140,3,12,海证期货  ,957,70,
13,中辉期货  ,946,-336,13,兴业期货  ,1079,4,13,中信期货  ,626,-2,
14,铜冠金源  ,943,-384,14,银河期货  ,1067,85,14,光大期货  ,532,32,
15,方正中期  ,639,451,15,永安期货  ,747,181,15,国富期货  ,514,-25,
16,金瑞期货  ,471,-5,16,光大期货  ,702,1,16,广发期货  ,492,21,
17,银河期货  ,461,-113,17,方正中期  ,549,136,17,中钢期货  ,483,437,
18,中钢期货  ,453,433,18,一德期货  ,508,6,18,上海中期  ,427,0,
19,永安期货  ,375,-35,19,中粮期货  ,500,268,19,混沌天成  ,405,105,
20,招商期货  ,363,252,20,格林大华  ,495,190,20,永安期货  ,371,8,
合计,,31892,5301,合计,,24842,2080,合计,,26500,2931,
商品名称 ：铅                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,75672,530,期货公司  ,42784,1785,期货公司  ,42784,1785,
非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
合约代码 ：pb1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,389,147,1,海通期货  ,842,-89,1,铜冠金源  ,710,-3,
2,华鑫期货  ,386,213,2,广发期货  ,677,2,2,中信期货  ,682,-12,
3,五矿经易  ,343,162,3,中信期货  ,562,25,3,鲁证期货  ,502,-44,
4,国富期货  ,245,93,4,中银国际  ,470,-4,4,云晨期货  ,453,-27,
5,中信期货  ,213,-249,5,国投安信  ,428,-45,5,五矿经易  ,371,-34,
6,上海中期  ,191,6,6,五矿经易  ,365,-309,6,中粮期货  ,302,75,
7,中辉期货  ,182,-14,7,东证期货  ,331,2,7,南华期货  ,224,-6,
8,首创期货  ,120,20,8,永安期货  ,310,0,8,广州期货  ,175,-1,
9,国海良时  ,117,60,9,方正中期  ,191,68,9,海通期货  ,172,0,
10,中粮期货  ,105,99,10,上海中期  ,185,-78,10,大有期货  ,166,1,
11,西部期货  ,103,26,11,国泰君安  ,174,0,11,上海中期  ,163,-3,
12,方正中期  ,93,65,12,国海良时  ,154,-12,12,国泰君安  ,138,0,
13,兴证期货  ,76,-16,13,南华期货  ,101,-4,13,金汇期货  ,115,-60,
14,银河期货  ,61,28,14,广州期货  ,70,0,14,国贸期货  ,112,0,
15,金汇期货  ,60,60,15,国信期货  ,61,0,15,弘业期货  ,96,-3,
16,国投安信  ,54,40,16,格林大华  ,59,0,16,一德期货  ,95,-13,
17,招金期货  ,44,44,17,银河期货  ,51,-2,17,永安期货  ,82,-2,
18,鲁证期货  ,44,-42,18,中粮期货  ,42,0,18,华鑫期货  ,76,-86,
19,南华期货  ,36,26,19,弘业期货  ,40,-1,19,华信期货  ,75,0,
20,东证期货  ,36,-94,20,中辉期货  ,33,4,20,广发期货  ,60,0,
合计,,2898,674,合计,,5146,-443,合计,,4769,-218,
合约代码 ：pb1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,7911,1077,1,海通期货  ,3142,76,1,南华期货  ,1683,-133,
2,国投安信  ,5261,522,2,迈科期货  ,1513,0,2,云晨期货  ,1570,56,
3,中信期货  ,3696,-608,3,中信期货  ,1502,57,3,方正中期  ,1453,111,
4,鲁证期货  ,3166,341,4,中银国际  ,1374,11,4,弘业期货  ,1384,121,
5,兴证期货  ,2426,-519,5,金瑞期货  ,1250,-409,5,中信期货  ,1334,-271,
6,方正中期  ,2287,553,6,永安期货  ,1110,16,6,大有期货  ,1235,23,
7,申万期货  ,1648,218,7,国泰君安  ,927,-4,7,永安期货  ,1097,32,
8,金瑞期货  ,1305,10,8,方正中期  ,891,176,8,建信期货  ,1051,1,
9,东证期货  ,1238,-72,9,五矿经易  ,873,139,9,五矿经易  ,989,149,
10,国富期货  ,1156,156,10,浙商期货  ,706,-3,10,鲁证期货  ,782,-15,
11,银河期货  ,1151,185,11,银河期货  ,702,107,11,东证期货  ,746,88,
12,国泰君安  ,1077,-143,12,东证期货  ,688,-30,12,铜冠金源  ,674,-2,
13,南华期货  ,1054,-525,13,招商期货  ,637,139,13,广州期货  ,622,72,
14,华泰期货  ,1013,-63,14,中粮期货  ,630,95,14,国海良时  ,581,205,
15,西部期货  ,1002,185,15,申万期货  ,517,9,15,华泰期货  ,549,85,
16,上海中期  ,877,38,16,瑞达期货  ,507,-307,16,国泰君安  ,496,3,
17,广发期货  ,863,-42,17,同信久恒  ,499,-102,17,国投安信  ,481,-340,
18,徽商期货  ,834,7,18,国海良时  ,497,15,18,上海中期  ,446,-44,
19,华安期货  ,783,-177,19,中财期货  ,458,230,19,银河期货  ,364,66,
20,铜冠金源  ,762,-82,20,华泰期货  ,444,60,20,国信期货  ,364,2,
合计,,39510,1061,合计,,18867,275,合计,,17901,209,
商品名称 ：镍                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,1397450,105306,期货公司  ,371464,2533,期货公司  ,372664,2533,
非期货公司,0,0,非期货公司,1200,0,非期货公司,0,0,
合约代码 ：ni1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,19705,2116,1,海通期货  ,10195,-900,1,永安期货  ,10957,-348,
2,中信期货  ,13858,2526,2,五矿经易  ,8094,-1058,2,国贸期货  ,9611,-30,
3,华西期货  ,11867,1088,3,中信期货  ,7601,-180,3,中信期货  ,6918,-618,
4,鲁证期货  ,7788,2123,4,国泰君安  ,7137,36,4,一德期货  ,6660,-158,
5,西部期货  ,7518,-1415,5,永安期货  ,5542,188,5,中粮期货  ,5996,79,
6,申万期货  ,7000,-1152,6,中粮期货  ,4850,51,6,海通期货  ,5914,-1103,
7,国投安信  ,6804,-945,7,国投安信  ,4145,-394,7,混沌天成  ,4814,494,
8,天鸿期货  ,6109,-1354,8,中信建投  ,4107,128,8,国泰君安  ,4252,212,
9,中银国际  ,6055,-766,9,方正中期  ,3877,-49,9,南华期货  ,4218,-34,
10,国富期货  ,5271,1054,10,南华期货  ,3313,-293,10,国富期货  ,3941,-522,
11,银河期货  ,5267,485,11,建信期货  ,2993,-728,11,中银国际  ,3765,363,
12,五矿经易  ,5123,530,12,招商期货  ,2828,-579,12,鲁证期货  ,3760,-2591,
13,徽商期货  ,4873,-241,13,华西期货  ,2786,-279,13,大有期货  ,3606,-6,
14,华泰期货  ,4872,-566,14,银河期货  ,2716,-371,14,兴业期货  ,3580,-1,
15,永安期货  ,3944,-3064,15,东证期货  ,2574,-136,15,中国国际  ,3315,-92,
16,国信期货  ,3929,-612,16,申万期货  ,2502,-92,16,国投安信  ,3173,-408,
17,招商期货  ,3891,-4331,17,铜冠金源  ,2471,138,17,东证期货  ,3143,25,
18,恒泰期货  ,3817,-1243,18,华泰期货  ,2170,-191,18,银河期货  ,2967,346,
19,美尔雅    ,3766,-265,19,中银国际  ,2029,434,19,信达期货  ,2777,-3,
20,宝城期货  ,3644,115,20,兴证期货  ,1831,-157,20,华西期货  ,2725,-168,
合计,,135101,-5917,合计,,83761,-4432,合计,,96092,-4563,
合约代码 ：ni1807                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,124655,14344,1,国泰君安  ,15407,119,1,永安期货  ,15200,-569,
2,徽商期货  ,49947,2530,2,永安期货  ,14528,175,2,国泰君安  ,9040,-1076,
3,鲁证期货  ,48126,14264,3,中国国际  ,6612,72,3,光大期货  ,7843,4,
4,中信期货  ,44709,7384,4,海通期货  ,6408,-224,4,浙商期货  ,6763,3950,
5,东证期货  ,37508,23992,5,国贸期货  ,5753,59,5,宏源期货  ,6410,574,
6,国投安信  ,34844,7331,6,中信期货  ,5469,1637,6,鲁证期货  ,6377,1815,
7,国泰君安  ,29823,7505,7,南华期货  ,5379,-796,7,中信期货  ,5513,582,
8,华安期货  ,29389,1320,8,国海良时  ,4848,37,8,建信期货  ,5345,-439,
9,永安期货  ,24816,8842,9,广发期货  ,3591,126,9,兴业期货  ,5110,-77,
10,申万期货  ,21237,2360,10,中粮期货  ,3189,-16,10,海通期货  ,4766,-333,
11,东航期货  ,20783,-1129,11,方正中期  ,2917,-438,11,五矿经易  ,4595,-37,
12,西部期货  ,20754,692,12,浙商期货  ,2767,150,12,国投安信  ,4372,744,
13,华西期货  ,19883,-898,13,银河期货  ,2746,716,13,申万期货  ,4299,378,
14,华泰期货  ,19571,1931,14,五矿经易  ,2705,-112,14,华泰期货  ,3715,248,
15,中信建投  ,19092,2989,15,上海中期  ,2703,-174,15,混沌天成  ,3305,699,
16,广发期货  ,18161,2623,16,鲁证期货  ,2644,1895,16,一德期货  ,3076,281,
17,银河期货  ,17767,5378,17,大地期货  ,2273,261,17,南华期货  ,2854,-202,
18,安粮期货  ,17007,1976,18,金瑞期货  ,2168,564,18,徽商期货  ,2297,809,
19,同信久恒  ,16898,634,19,华泰期货  ,2066,-251,19,国富期货  ,2297,-322,
20,宏源期货  ,16576,3508,20,弘业期货  ,2047,-25,20,东证期货  ,2147,178,
合计,,631546,107576,合计,,96220,3775,合计,,105324,7207,
合约代码 ：ni1809                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,8179,392,1,国贸期货  ,13726,2,1,南华期货  ,7431,-26,
2,中信期货  ,4250,254,2,中信期货  ,12901,15,2,江海汇鑫  ,7241,-1,
3,东证期货  ,4194,2670,3,中粮期货  ,6117,-6,3,建信期货  ,5336,-2,
4,鲁证期货  ,3068,-75,4,五矿经易  ,4561,408,4,国泰君安  ,5326,87,
5,华西期货  ,2855,385,5,中银国际  ,3710,16,5,中信期货  ,4385,179,
6,申万期货  ,2325,-176,6,广发期货  ,2970,-421,6,永安期货  ,4284,571,
7,国投安信  ,1680,94,7,海通期货  ,2641,-108,7,信达期货  ,3929,2,
8,长江期货  ,1649,840,8,华泰期货  ,2587,67,8,海通期货  ,3843,27,
9,中融汇信  ,1521,-243,9,国泰君安  ,2512,-30,9,兴业期货  ,3586,4,
10,东航期货  ,1476,150,10,永安期货  ,2361,127,10,华信期货  ,3338,-7,
11,西部期货  ,1301,203,11,南华期货  ,1874,-93,11,华泰期货  ,3138,57,
12,中辉期货  ,1288,-223,12,新湖期货  ,1756,14,12,新湖期货  ,2681,4,
13,永安期货  ,1260,-114,13,银河期货  ,1543,17,13,国富期货  ,2592,-12,
14,铜冠金源  ,1256,373,14,首创期货  ,1411,95,14,中粮期货  ,2275,-1,
15,中银国际  ,1236,115,15,大有期货  ,1158,12,15,方正中期  ,2058,133,
16,光大期货  ,1178,390,16,金瑞期货  ,1140,3,16,国海良时  ,1989,1,
17,方正中期  ,1074,8,17,东证期货  ,965,-12,17,东航期货  ,1598,75,
18,国联期货  ,1033,625,18,方正中期  ,806,-27,18,中国国际  ,1343,-20,
19,浙商期货  ,1020,-155,19,申万期货  ,749,161,19,银河期货  ,1339,-14,
20,兴证期货  ,970,-480,20,中金期货  ,730,58,20,迈科期货  ,1310,-2,
合计,,42813,5033,合计,,66218,298,合计,,69022,1055,
商品名称 ：锡                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,16472,1876,期货公司  ,13613,483,期货公司  ,13613,483,
非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
合约代码 ：sn1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,2256,353,1,金瑞期货  ,1864,58,1,中信期货  ,1831,106,
2,中信期货  ,1543,-184,2,中信期货  ,1439,-55,2,银河期货  ,1174,-25,
3,国投安信  ,725,139,3,国泰君安  ,915,-19,3,东海期货  ,798,0,
4,鲁证期货  ,697,247,4,东证期货  ,662,-4,4,五矿经易  ,738,8,
5,方正中期  ,583,38,5,云晨期货  ,556,8,5,光大期货  ,717,1,
6,徽商期货  ,579,-58,6,安粮期货  ,522,-207,6,国贸期货  ,458,-81,
7,中辉期货  ,559,142,7,永安期货  ,499,81,7,中粮期货  ,294,33,
8,华安期货  ,520,176,8,五矿经易  ,465,19,8,永安期货  ,240,-2,
9,申万期货  ,411,-43,9,徽商期货  ,427,13,9,中金期货  ,227,17,
10,西部期货  ,316,-4,10,中国国际  ,406,-1,10,国投安信  ,217,49,
11,东航期货  ,283,121,11,银河期货  ,280,80,11,国泰君安  ,209,4,
12,安粮期货  ,278,215,12,南华期货  ,235,103,12,方正中期  ,209,-12,
13,大有期货  ,271,223,13,广发期货  ,167,34,13,中钢期货  ,198,-11,
14,中银国际  ,271,22,14,一德期货  ,134,21,14,海通期货  ,189,-95,
15,东证期货  ,270,13,15,国海良时  ,125,-3,15,兴证期货  ,188,18,
16,永安期货  ,249,96,16,新湖期货  ,118,7,16,国信期货  ,169,-1,
17,华泰期货  ,239,116,17,招金期货  ,110,0,17,华泰期货  ,166,8,
18,南华期货  ,226,32,18,华泰期货  ,98,-31,18,鲁证期货  ,166,121,
19,银河期货  ,225,59,19,华安期货  ,90,87,19,申万期货  ,142,30,
20,中信建投  ,199,20,20,兴证期货  ,85,2,20,东吴期货  ,141,48,
合计,,10700,1723,合计,,9197,193,合计,,8471,216,
商品名称 ：黄金                2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,139229,4346,期货公司  ,147486,-2898,期货公司  ,44262,-2667,
非期货公司,7439,332,非期货公司,41119,-200,非期货公司,144343,-431,
合约代码 ：au1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,20189,3249,1,申万期货  ,10655,-4,1,招金期货  ,3772,-339,
2,上海中期  ,11269,1955,2,国泰君安  ,9893,-28,2,中信期货  ,2502,-227,
3,国泰君安  ,6590,-1674,3,银河期货  ,7744,-114,3,东证期货  ,2291,508,
4,同信久恒  ,5076,-963,4,中信期货  ,5867,249,4,华泰期货  ,2036,-366,
5,东证期货  ,4319,-83,5,海通期货  ,5804,228,5,平安期货  ,1354,264,
6,永安期货  ,4148,1197,6,华泰期货  ,5391,-661,6,海通期货  ,1334,-153,
7,中银国际  ,4064,546,7,永安期货  ,4240,73,7,中金期货  ,1309,-12,
8,徽商期货  ,4022,1202,8,鲁证期货  ,4214,386,8,南华期货  ,1280,117,
9,中信期货  ,3860,-623,9,五矿经易  ,4139,42,9,国泰君安  ,1130,130,
10,西部期货  ,3228,1348,10,东海期货  ,3344,0,10,中信建投  ,1128,5,
11,广发期货  ,2896,528,11,中衍期货  ,3276,56,11,永安期货  ,966,77,
12,国信期货  ,2710,2097,12,招金期货  ,3256,-148,12,金瑞期货  ,819,6,
13,平安期货  ,2530,-749,13,金瑞期货  ,3206,14,13,东航期货  ,768,-36,
14,华泰期货  ,2291,288,14,方正中期  ,2829,92,14,五矿经易  ,635,111,
15,弘业期货  ,2144,1793,15,光大期货  ,2705,30,15,国贸期货  ,592,12,
16,鲁证期货  ,1935,40,16,广发期货  ,2660,-3,16,兴证期货  ,578,-59,
17,国投安信  ,1791,-1472,17,国元期货  ,2600,-56,17,新湖期货  ,528,-95,
18,中融汇信  ,1769,-184,18,中信建投  ,2600,11,18,广发期货  ,510,-367,
19,兴证期货  ,1767,-90,19,山金期货  ,2360,-8,19,银河期货  ,472,63,
20,中信建投  ,1682,-1061,20,南华期货  ,2177,-485,20,东兴期货  ,465,-37,
合计,,88280,7344,合计,,88960,-326,合计,,24469,-398,
合约代码 ：au1812                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,945,-332,1,中信期货  ,2399,-733,1,国泰君安  ,2981,-241,
2,上海中期  ,911,258,2,永安期货  ,2045,-7,2,招金期货  ,1647,-34,
3,中辉期货  ,700,-98,3,东证期货  ,1095,54,3,鲁证期货  ,604,-65,
4,海通期货  ,698,0,4,招商期货  ,1029,-16,4,五矿经易  ,526,-5,
5,中银国际  ,349,-89,5,上海大陆  ,961,-1,5,福能期货  ,520,0,
6,国泰君安  ,340,96,6,中粮期货  ,858,1,6,新湖期货  ,375,0,
7,东证期货  ,337,72,7,银河期货  ,762,-72,7,南华期货  ,334,-4,
8,鲁证期货  ,309,-111,8,五矿经易  ,678,-103,8,银河期货  ,317,-89,
9,华泰期货  ,308,63,9,国海良时  ,574,-16,9,瑞龙期货  ,297,-67,
10,银河期货  ,269,-94,10,兴证期货  ,519,-8,10,迈科期货  ,252,-17,
11,同信久恒  ,269,175,11,国泰君安  ,486,-15,11,徽商期货  ,192,-12,
12,瑞龙期货  ,264,206,12,新世纪    ,464,-2,12,金瑞期货  ,161,0,
13,徽商期货  ,189,94,13,平安期货  ,439,15,13,东证期货  ,149,23,
14,东航期货  ,175,116,14,浙商期货  ,381,54,14,国联期货  ,147,0,
15,国投安信  ,172,-14,15,西南期货  ,372,40,15,铜冠金源  ,111,45,
16,广发期货  ,153,92,16,海通期货  ,347,80,16,建信期货  ,110,0,
17,平安期货  ,118,94,17,华泰期货  ,307,-21,17,中信建投  ,109,-3,
18,长江期货  ,109,1,18,广发期货  ,288,0,18,金信期货  ,105,100,
19,五矿经易  ,108,-28,19,南华期货  ,188,0,19,中辉期货  ,101,7,
20,新世纪    ,108,104,20,美尔雅    ,170,25,20,东海期货  ,86,1,
合计,,6831,605,合计,,14362,-725,合计,,9124,-361,
商品名称 ：白银                2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,379602,26618,期货公司  ,459310,14215,期货公司  ,334732,13893,
非期货公司,2618,-1348,非期货公司,3354,198,非期货公司,127932,520,
合约代码 ：ag1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,37728,-243,1,东证期货  ,21176,9984,1,中信期货  ,42680,2308,
2,中信期货  ,24301,4782,2,海通期货  ,20338,-408,2,国泰君安  ,26669,274,
3,东证期货  ,15798,2831,3,华泰期货  ,14724,-322,3,五矿经易  ,16345,656,
4,中银国际  ,15310,1987,4,方正中期  ,14084,15,4,永安期货  ,11786,911,
5,上海中期  ,13747,1893,5,建信期货  ,12493,-1905,5,招金期货  ,11275,181,
6,兴证期货  ,10570,3809,6,永安期货  ,12073,-890,6,通惠期货  ,9185,933,
7,方正中期  ,9901,-1155,7,国投安信  ,11023,250,7,国贸期货  ,8448,-520,
8,国泰君安  ,8789,2424,8,金瑞期货  ,9175,-544,8,海通期货  ,7972,-2816,
9,华泰期货  ,7829,1653,9,中粮期货  ,8801,223,9,金瑞期货  ,7447,212,
10,南华期货  ,7383,962,10,国泰君安  ,8761,763,10,华泰期货  ,5732,149,
11,国投安信  ,6644,540,11,通惠期货  ,8413,-473,11,建信期货  ,5649,2148,
12,建信期货  ,6149,3367,12,南华期货  ,8387,-71,12,迈科期货  ,5233,-2,
13,西部期货  ,5318,2746,13,招金期货  ,7748,1781,13,中金期货  ,5124,-87,
14,光大期货  ,5172,480,14,新湖期货  ,7489,-131,14,银河期货  ,4946,-24,
15,平安期货  ,5113,-1273,15,中信期货  ,7442,-603,15,方正中期  ,4899,516,
16,招金期货  ,4952,820,16,五矿经易  ,7138,-58,16,兴证期货  ,4870,1021,
17,永安期货  ,4881,-683,17,首创期货  ,7067,-261,17,东兴期货  ,4840,902,
18,长江期货  ,4762,1101,18,鲁证期货  ,6995,115,18,国海良时  ,4831,4,
19,广金期货  ,4612,1150,19,中衍期货  ,6963,11,19,南华期货  ,4802,960,
20,广发期货  ,4523,-347,20,广发期货  ,6947,-40,20,平安期货  ,3898,-803,
合计,,203482,26844,合计,,207237,7436,合计,,196631,6923,
合约代码 ：ag1812                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,4948,245,1,方正中期  ,5305,177,1,中信期货  ,15568,3271,
2,海通期货  ,4414,470,2,海通期货  ,4967,174,2,银河期货  ,6696,428,
3,中辉期货  ,2594,-329,3,华泰期货  ,4143,244,3,永安期货  ,3815,21,
4,中银国际  ,1751,-16,4,国泰君安  ,2956,-22,4,瑞龙期货  ,3574,154,
5,申万期货  ,1703,-1596,5,东证期货  ,2744,301,5,中国国际  ,3056,36,
6,银河期货  ,1504,1299,6,永安期货  ,2730,-67,6,国海良时  ,2668,-92,
7,长江期货  ,1479,278,7,一德期货  ,2506,54,7,申万期货  ,2453,-20,
8,东证期货  ,1475,570,8,创元期货  ,1758,56,8,兴证期货  ,2359,-92,
9,鲁证期货  ,1335,-232,9,中衍期货  ,1695,71,9,东兴期货  ,2202,836,
10,华安期货  ,1218,-189,10,平安期货  ,1622,262,10,国投安信  ,2118,9,
11,方正中期  ,1213,-616,11,中信期货  ,1431,-63,11,平安期货  ,2097,-48,
12,国投安信  ,1042,-1304,12,申万期货  ,1278,183,12,华泰期货  ,1649,-14,
13,建信期货  ,1034,547,13,长江期货  ,1218,86,13,铜冠金源  ,1639,99,
14,东航期货  ,1011,290,14,首创期货  ,1183,29,14,海通期货  ,1543,464,
15,华西期货  ,1000,916,15,华西期货  ,1021,982,15,五矿经易  ,1526,-1,
16,东兴期货  ,912,423,16,南华期货  ,1008,7,16,建信期货  ,1504,-247,
17,新湖期货  ,783,-144,17,国投安信  ,1007,-7,17,方正中期  ,1342,-304,
18,瑞龙期货  ,768,283,18,广发期货  ,995,148,18,国泰君安  ,1173,69,
19,长安期货  ,756,327,19,长安期货  ,983,-8,19,东证期货  ,1004,-42,
20,华泰期货  ,738,-417,20,建信期货  ,976,659,20,新湖期货  ,882,1,
合计,,31678,805,合计,,41526,3266,合计,,58868,4528,
商品名称 ：螺纹钢              2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,6356388,867289,期货公司  ,1879894,-87564,期货公司  ,1884399,-87564,
非期货公司,0,-5,非期货公司,4505,0,非期货公司,0,0,
合约代码 ：rb1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,371966,67235,1,永安期货  ,63395,8722,1,永安期货  ,68065,-2496,
2,同信久恒  ,154527,25463,2,银河期货  ,33655,17,2,海通期货  ,33035,1935,
3,中信期货  ,135837,17494,3,申万期货  ,33015,5461,3,国贸期货  ,30608,-3787,
4,国投安信  ,128095,24773,4,海通期货  ,32254,-1109,4,银河期货  ,30095,-467,
5,华泰期货  ,117046,29336,5,国泰君安  ,29418,-298,5,中信期货  ,27520,-3815,
6,东证期货  ,110911,-1725,6,华泰期货  ,24831,554,6,方正中期  ,26155,-4597,
7,方正中期  ,94337,-7325,7,鲁证期货  ,24254,148,7,国泰君安  ,23761,545,
8,申万期货  ,89526,13049,8,中信期货  ,23977,-3022,8,华泰期货  ,21425,-5838,
9,永安期货  ,81942,-19656,9,南华期货  ,23643,-2397,9,光大期货  ,19488,-174,
10,中信建投  ,77297,23640,10,方正中期  ,19432,-1776,10,中信建投  ,18484,8694,
11,银河期货  ,71858,-7565,11,东海期货  ,18840,210,11,南华期货  ,17506,-1669,
12,徽商期货  ,70268,-3313,12,国贸期货  ,16329,982,12,兴证期货  ,17343,381,
13,光大期货  ,62433,13127,13,徽商期货  ,16068,-185,13,广发期货  ,16911,1807,
14,广发期货  ,59135,15007,14,弘业期货  ,14891,-563,14,东航期货  ,16834,129,
15,兴证期货  ,58647,2182,15,国投安信  ,13832,-3609,15,国投安信  ,16458,910,
16,上海中期  ,58463,5981,16,东证期货  ,13325,-1213,16,美尔雅    ,15616,-2463,
17,国泰君安  ,56483,-5648,17,道通期货  ,13220,-2993,17,浙商期货  ,15260,1290,
18,上海大陆  ,55896,12942,18,一德期货  ,12733,-34,18,宏源期货  ,14876,-58,
19,鲁证期货  ,54759,8474,19,宝城期货  ,12262,1223,19,一德期货  ,14383,-6777,
20,华安期货  ,54541,140,20,浙商期货  ,12060,-1301,20,中辉期货  ,13902,4273,
合计,,1963967,213611,合计,,451434,-1183,合计,,457725,-12177,
合约代码 ：rb1810                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,234325,81881,1,永安期货  ,49452,-3078,1,永安期货  ,80892,-64817,
